Epoch: 0, Loss: 8.60495713e-01
Epoch: 1, Loss: 2.90019357e-01
Epoch: 2, Loss: 1.20479011e-01
Epoch: 3, Loss: 8.48315655e-02
Epoch: 4, Loss: 3.69043739e-02
Epoch: 5, Loss: 2.87895892e-02
Epoch: 6, Loss: 2.17530638e-02
Epoch: 7, Loss: 1.79178587e-02
Epoch: 8, Loss: 1.38485165e-02
Epoch: 9, Loss: 1.15155296e-02
Epoch: 10, Loss: 9.73336948e-03
Epoch: 11, Loss: 8.36060367e-03
Epoch: 12, Loss: 7.67555315e-03
Epoch: 13, Loss: 6.75169943e-03
Epoch: 14, Loss: 6.05517242e-03
Epoch: 15, Loss: 5.46429939e-03
Epoch: 16, Loss: 5.03424546e-03
Epoch: 17, Loss: 4.57832683e-03
Epoch: 18, Loss: 4.24246870e-03
Epoch: 19, Loss: 3.95762145e-03
Epoch: 20, Loss: 3.68064096e-03
Epoch: 21, Loss: 3.45322932e-03
Epoch: 22, Loss: 3.24636808e-03
Epoch: 23, Loss: 3.06116638e-03
Epoch: 24, Loss: 2.92391091e-03
Epoch: 25, Loss: 2.76208394e-03
Epoch: 26, Loss: 2.60507064e-03
Epoch: 27, Loss: 2.49558755e-03
Epoch: 28, Loss: 2.38906624e-03
Epoch: 29, Loss: 2.26388751e-03
Epoch: 30, Loss: 2.18512381e-03
Epoch: 31, Loss: 2.09527511e-03
Epoch: 32, Loss: 2.00655140e-03
Epoch: 33, Loss: 1.92869304e-03
Epoch: 34, Loss: 1.85434274e-03
Epoch: 35, Loss: 1.78552917e-03
Epoch: 36, Loss: 1.71958754e-03
Epoch: 37, Loss: 1.66092254e-03
Epoch: 38, Loss: 1.60527918e-03
Epoch: 39, Loss: 1.55419126e-03
Epoch: 40, Loss: 1.50722768e-03
Epoch: 41, Loss: 1.46209119e-03
Epoch: 42, Loss: 1.41631397e-03
Epoch: 43, Loss: 1.38489364e-03
Epoch: 44, Loss: 1.33526294e-03
Epoch: 45, Loss: 1.29842219e-03
Epoch: 46, Loss: 1.26351048e-03
Epoch: 47, Loss: 1.22991266e-03
Epoch: 48, Loss: 1.19799088e-03
Epoch: 49, Loss: 1.16789786e-03
Epoch: 50, Loss: 1.14016789e-03
Epoch: 51, Loss: 1.11152556e-03
Epoch: 52, Loss: 1.08550864e-03
Epoch: 53, Loss: 1.05954331e-03
Epoch: 54, Loss: 1.03562117e-03
Epoch: 55, Loss: 1.01431789e-03
Epoch: 56, Loss: 9.91353422e-04
Epoch: 57, Loss: 9.68618829e-04
Epoch: 58, Loss: 9.48245176e-04
Epoch: 59, Loss: 9.28835822e-04
Epoch: 60, Loss: 9.09533432e-04
Epoch: 61, Loss: 8.91715540e-04
Epoch: 62, Loss: 8.73428536e-04
Epoch: 63, Loss: 8.56870538e-04
Epoch: 64, Loss: 8.41735412e-04
Epoch: 65, Loss: 8.24702454e-04
Epoch: 66, Loss: 8.09219832e-04
Epoch: 67, Loss: 7.96221487e-04
Epoch: 68, Loss: 7.80043384e-04
Epoch: 69, Loss: 7.66434000e-04
Epoch: 70, Loss: 7.52866946e-04
Epoch: 71, Loss: 7.39988273e-04
Epoch: 72, Loss: 7.28493688e-04
Epoch: 73, Loss: 7.15466644e-04
Epoch: 74, Loss: 7.03695461e-04
Epoch: 75, Loss: 6.92302415e-04
Epoch: 76, Loss: 6.81271991e-04
Epoch: 77, Loss: 6.70530727e-04
Epoch: 78, Loss: 6.60031373e-04
Epoch: 79, Loss: 6.49932442e-04
Epoch: 80, Loss: 6.40123504e-04
Epoch: 81, Loss: 6.30705616e-04
Epoch: 82, Loss: 6.21265199e-04
Epoch: 83, Loss: 6.12197208e-04
Epoch: 84, Loss: 6.03409914e-04
Epoch: 85, Loss: 5.95032562e-04
Epoch: 86, Loss: 5.86431227e-04
Epoch: 87, Loss: 5.78386887e-04
Epoch: 88, Loss: 5.70366312e-04
Epoch: 89, Loss: 5.62664970e-04
Epoch: 90, Loss: 5.55066671e-04
Epoch: 91, Loss: 5.47810240e-04
Epoch: 92, Loss: 5.40625247e-04
Epoch: 93, Loss: 5.33682515e-04
Epoch: 94, Loss: 5.26692625e-04
Epoch: 95, Loss: 5.20078636e-04
Epoch: 96, Loss: 5.13537783e-04
Epoch: 97, Loss: 5.07358659e-04
Epoch: 98, Loss: 5.00907016e-04
Epoch: 99, Loss: 4.94890197e-04
3th instance got misclassified, expected: 6. But actual: 8
64th instance got misclassified, expected: 8. But actual: 9
Total instances: 105
Correctly classified: 103
